""," ","Ozempic","Rybelsus","Wegovy","Victoza","Saxenda","Unknown"
"39","  2022 Jul-Dec","10168 (19%)","3349 (20%)","2229 (12%)","721 (7%)","1479 (19%)","11939 (16%)"
"40","  2023 Jan-Jun","16546 (31%)","3698 (22%)","12074 (64%)","695 (7%)","926 (12%)","17916 (24%)"
"41","  2023 Jul-Dec","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"42","Atrial Fibrilation","4244 (8%)","1351 (8%)","533 (3%)","856 (8%)","206 (3%)","5149 (7%)"
"43","Asthma","9890 (18%)","2682 (16%)","3942 (21%)","1993 (19%)","1577 (20%)","15886 (21%)"
"44","CKD","7990 (15%)","3023 (18%)","732 (4%)","1754 (17%)","284 (4%)","10670 (14%)"
"45","COPD","4357 (8%)","1360 (8%)","616 (3%)","1004 (10%)","253 (3%)","6080 (8%)"
"46","Glaucoma","1277 (2%)","501 (3%)","171 (1%)","236 (2%)","79 (1%)","1864 (2%)"
"47","Heart Failure","5065 (9%)","1457 (9%)","512 (3%)","1211 (12%)","197 (3%)","6430 (9%)"
"48","Hyperlipidemia","37022 (68%)","12641 (77%)","9072 (48%)","6340 (62%)","3246 (42%)","50920 (68%)"
"49","Hypertension","37630 (70%)","12398 (75%)","8940 (48%)","6790 (66%)","3536 (46%)","51430 (69%)"
"50","Ischemic Heart Disease","4878 (9%)","1463 (9%)","499 (3%)","1107 (11%)","206 (3%)","6250 (8%)"
"51","Acute MI","2095 (4%)","550 (3%)","217 (1%)","461 (4%)","71 (1%)","2795 (4%)"
"52","Ischemic Stroke","161 (0%)","54 (0%)","24 (0%)","41 (0%)","10 (0%)","222 (0%)"
"53","Major Depressive Disorder","10045 (19%)","2834 (17%)","4459 (24%)","2057 (20%)","1857 (24%)","19549 (26%)"
"54","Osteoporosis","1921 (4%)","696 (4%)","402 (2%)","321 (3%)","160 (2%)","2615 (3%)"
"55","Bariatric Surgery","1404 (3%)","196 (1%)","1065 (6%)","264 (3%)","589 (8%)","2759 (4%)"
"56","Metformin","27483 (51%)","11015 (67%)","1879 (10%)","5147 (50%)","1045 (14%)","36288 (49%)"
"57","SGLT2i","10346 (19%)","4734 (29%)","163 (1%)","1615 (16%)","89 (1%)","10782 (14%)"
"58","DPP4","6528 (12%)","3309 (20%)","57 (0%)","1068 (10%)","54 (1%)","8571 (11%)"
"59","Sulfonylurea","10136 (19%)","5351 (32%)","78 (0%)","2023 (20%)","71 (1%)","14633 (20%)"
"60","Insulin","4716 (9%)","1275 (8%)","385 (2%)","906 (9%)","264 (3%)","7659 (10%)"
"61","Orlistat","64 (0%)","17 (0%)","47 (0%)","17 (0%)","37 (0%)","237 (0%)"
"62","Phentermine Topiramate","203 (0%)","35 (0%)","296 (2%)","26 (0%)","194 (3%)","745 (1%)"
"63","BMI","","","","","",""
"64","  Mean (SD)","37 (8.4)","35 (8.1)","39 (8.0)","39 (9.3)","39 (8.6)","39 (8.6)"
"65","  Missing","27779 (51.3%)","6636 (40.2%)","9785 (52.1%)","5735 (55.7%)","4598 (59.6%)","27881 (37.3%)"
"66","Weight (in lbs)","","","","","",""
"67","  Mean (SD)","240 (57)","220 (56)","230 (54)","240 (60)","240 (58)","240 (57)"
"68","  Missing","18977 (35.1%)","5746 (34.8%)","6377 (34.0%)","5320 (51.7%)","3086 (40.0%)","22358 (29.9%)"
"69","HbA1c","","","","","",""
"70","  Mean (SD)","7.6 (1.9)","8.1 (1.8)","5.6 (0.55)","7.9 (1.9)","5.7 (0.80)","7.5 (2.0)"
"71","  Missing","17222 (31.8%)","3446 (20.9%)","9366 (49.9%)","3568 (34.6%)","4044 (52.4%)","18855 (25.2%)"
